Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2025,4322.65,4331.00,4160.00,4187.75,4239.863852390271176963,7154,1745,30331986.00,3577,50.00,171.00,-134.90
29-April-2025,4398.15,4409.25,4288.85,4308.50,4323.418083782662795520,7233,1639,31271283.00,2406,33.26,120.40,-89.65
28-April-2025,4379.95,4461.10,4354.10,4365.65,4400.873238602723505032,16890,2023,74330749.00,4147,24.55,107.00,-14.30
25-April-2025,4497.05,4516.10,4352.05,4373.55,4409.369555604687154543,9046,1848,39887157.00,3336,36.88,164.05,-123.50
24-April-2025,4543.95,4555.00,4452.00,4496.85,4514.354892643435410066,11364,2670,51301129.00,4232,37.24,103.00,-47.10
23-April-2025,4441.85,4532.60,4433.40,4507.60,4478.106398332264271969,12472,3011,55850943.00,5356,42.94,99.20,65.75
22-April-2025,4367.00,4498.00,4317.00,4434.80,4429.923814684367380113,18455,3004,81754244.00,7430,40.26,181.00,67.80
21-April-2025,4357.00,4426.75,4327.05,4339.10,4362.516309618266772458,136116,5824,593808270.00,117492,86.32,99.70,-17.90
17-April-2025,4222.20,4395.00,4196.45,4357.45,4271.848230383806990805,501945,9348,2144232860.00,482114,96.05,198.55,135.25
16-April-2025,4205.10,4260.00,4200.00,4222.00,4234.970464882745584499,16929,1805,71693815.00,12184,71.97,60.00,16.90
15-April-2025,4196.10,4224.00,4088.60,4206.05,4186.078875726583768670,27182,2941,113785996.00,18992,69.87,135.40,9.95
11-April-2025,4160.00,4190.00,4002.45,4122.10,4151.150032483352281955,24628,4284,102234523.00,13840,56.20,187.55,-37.90
9-April-2025,4054.00,4150.00,4015.80,4140.10,4116.073245778611632270,13325,2421,54846676.00,5930,44.50,134.20,86.10
8-April-2025,4106.85,4106.85,4023.25,4052.05,4060.583996966249525976,21096,4298,85662080.00,8127,38.52,83.60,-54.80
7-April-2025,3655.05,4039.30,3655.05,4024.15,3940.640605651243949116,17766,4668,70009421.00,3961,22.30,384.25,369.10
4-April-2025,4163.35,4163.35,3941.05,4039.30,4015.786350932849913135,26478,5181,106329991.00,6225,23.51,222.30,-124.05
3-April-2025,4116.35,4193.00,4079.50,4156.40,4146.318472468916518650,11260,2746,46687546.00,5001,44.41,113.50,40.05
2-April-2025,4045.00,4127.95,3996.00,4116.30,4073.504653188465593911,21813,4500,88855357.00,9828,45.06,131.95,71.30
1-April-2025,4100.00,4160.00,3992.50,4004.15,4082.045509342977697408,13272,3089,54176908.00,3976,29.96,167.50,-95.85
28-March-2025,4065.00,4188.00,4060.00,4078.15,4130.087244662556100834,23841,5146,98465410.00,5033,21.11,128.00,13.15
27-March-2025,3944.00,4083.95,3931.30,4064.85,4021.730915125651967757,12654,3319,50890983.00,4990,39.43,152.65,120.85
26-March-2025,4001.55,4022.75,3919.70,3944.00,3957.102892470744093618,9058,2397,35843438.00,2406,26.56,103.05,-57.55
25-March-2025,3920.95,4031.10,3886.85,3998.40,3977.820146746817538896,22624,3644,89994203.00,8230,36.38,144.25,77.45
24-March-2025,3881.45,3943.75,3881.45,3903.00,3921.071553228621291448,18336,3321,71896768.00,9659,52.68,62.30,21.55
21-March-2025,3899.40,3949.00,3875.05,3896.80,3917.175951759517595175,11111,1937,43523742.00,3666,32.99,73.95,-2.60
20-March-2025,3879.45,3902.00,3828.65,3878.60,3866.910464706573229456,25543,3697,98772494.00,12104,47.39,73.35,-0.85
